quadOriginal,quad,time,dates,ini.date,fin.date,elap.yr,site,ID,ini.area,ini.perim,ini.feret,ini.notes,fin.area,fin.perim,fin.feret,fin.notes,tran,survival,ini.areaLN,fin.areaLN
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_10,0.062,0.909,0.318,NA,0.309,2.025,0.668,,D,1,-2.780620894,-1.174414002
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_12,0.242,1.795,0.61,NA,0.405,2.322,0.779,,D,1,-1.418817553,-0.903868212
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_16,0.416,2.372,0.816,NA,0,0.37,0.184,gone,D,0,-0.877070019,#NAME?
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_17,0.255,1.844,0.631,NA,0.28,1.962,0.69,,D,1,-1.366491734,-1.272965676
D2_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D2_1,0.542,2.719,0.986,NA,0.49,2.62,0.938,,D,1,-0.612489278,-0.713349888
D2_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D2_2,0.47,2.51,0.872,NA,0.543,2.682,0.906,,D,1,-0.755022584,-0.610645959
D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D4_2,0.783,3.246,1.136,NA,0.658,2.958,1.008,angle,D,1,-0.244622583,-0.418550348
D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D4_3,0.642,2.912,0.964,NA,0.482,2.559,0.931,angle,D,1,-0.443166975,-0.729811165
D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D4_6,0.514,2.623,0.864,NA,0.467,2.471,0.811,,D,1,-0.665532014,-0.761426021
D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D4_7,0.359,2.178,0.723,NA,0.003,0.809,0.403,gone,D,0,-1.02443289,-5.80914299
D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D4_8,0.418,2.361,0.775,NA,0.443,2.433,0.833,,D,1,-0.872273846,-0.814185509
D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D4_10,0.717,3.075,1.055,NA,0.751,3.181,1.101,,D,1,-0.332679438,-0.286349627
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_12,0.542,NA,NA,NA,0.676,NA,NA,,SC1,1,-0.612489278,-0.391562203
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_15,0.072,NA,NA,NA,0.107,NA,NA,,SC1,1,-2.63108916,-2.234926445
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_17,0.063,NA,NA,NA,0.156,NA,NA,,SC1,1,-2.764620553,-1.857899272
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_2,0.252,NA,NA,NA,0.247,NA,NA,,SC1,1,-1.378326191,-1.398366942
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_3,0.391,NA,NA,NA,0.561,NA,NA,,SC1,1,-0.939047719,-0.578034373
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_4,0.445,NA,NA,NA,0.491,NA,NA,angle,SC1,1,-0.809680997,-0.711311151
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_5,0.218,NA,NA,NA,0.446,NA,NA,angle,SC1,1,-1.523260216,-0.807436327
SC1_54,SC1_54,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_6,0.2,NA,NA,NA,0.497,NA,NA,,SC1,1,-1.609437912,-0.699165253
SC1_62,SC1_62,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_62_1,0.755,NA,NA,NA,0.798,NA,NA,,SC1,1,-0.28103753,-0.225646682
SC1_62,SC1_62,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_62_2,0.488,NA,NA,NA,0.734,NA,NA,,SC1,1,-0.717439873,-0.30924625
SC1_62,SC1_62,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_62_3,0.292,NA,NA,NA,0.469,NA,NA,,SC1,1,-1.231001477,-0.757152511
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_1,0.405,NA,NA,NA,0.663,NA,NA,,SC1,1,-0.903868212,-0.410980289
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_2,0.574,NA,NA,NA,0.553,NA,NA,,SC1,1,-0.555125883,-0.592397277
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_3,0.554,NA,NA,NA,0.463,NA,NA,,SC1,1,-0.590590592,-0.770028225
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_4,0.485,NA,NA,NA,0.542,NA,NA,,SC1,1,-0.723606388,-0.612489278
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_5,0.477,NA,NA,NA,0.697,NA,NA,,SC1,1,-0.740238788,-0.360969868
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_6,0.365,NA,NA,NA,0.36,NA,NA,,SC1,1,-1.007857925,-1.021651248
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_8,0.172,NA,NA,NA,0.241,NA,NA,,SC1,1,-1.760260802,-1.422958345
