orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
72,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,13,B13,13,0.637,2.977,1.089,angle,13,0.629,2.987,1.115,angle,B
73,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,14,B14,14,0.344,2.153,0.745,,14,0.476,2.504,0.843,,B
74,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,15,B15,15,0.317,2.093,0.73,,15,0.578,2.772,0.942,,B
75,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,16,B16,16,0.076,1.017,0.369,,16,0.132,1.352,0.459,,B
76,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,17,B17,17,0.627,2.93,1.021,,17,0.522,2.683,0.968,angle,B
77,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,18,B18,18,0.108,1.21,0.441,,18,0.124,1.28,0.435,,B
78,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,19,B19,19,0.008,0.786,0.403,gone,19,0.008,1.188,0.592,gone,B
79,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,20,B20,20,0.85,3.384,1.177,angle,20,0.563,2.746,0.98,angle,B
80,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,21,B21,21,1.023,3.731,1.296,,21,0.002,0.672,0.335,gone,B
81,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,22,B22,22,0.444,2.441,0.875,,22,0.006,0.693,0.343,nv,B
82,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,23,B23,23,1.102,3.846,1.331,angle,23,0.952,3.556,1.234,,B
83,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,24,B24,24,0.313,2.048,0.695,,24,0.467,2.498,0.859,,B
84,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,25,B25,25,0.003,0.799,0.403,gone,25,0.005,0.983,0.49,gone,B
85,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,26,B26,26,1.469,4.453,1.496,,26,0.002,0.729,0.364,gone,B
86,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,27,B27,27,0.331,2.087,0.728,,27,0.546,2.702,0.912,,B
87,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,28,B28,28,0.757,3.17,1.044,,28,0.66,2.974,1.033,angle,B
88,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,29,B29,29,0.897,3.512,1.213,angle,29,0.802,3.298,1.133,,B
