row,quad,date,date.no,coral.id,coral.no,area,perim,feret,feretx,ferety,feretangle,minferet,code,sizeOK,surv,growth,recruit,other.notes
146,SC1_54,3-Dec-10,40515,SC1_54_6,6,0.497,NA,0.848,NA,NA,32.347,0.776,,1,1,1,0,
147,SC1_54,3-Dec-10,40515,SC1_54_7,7,9.97E-04,NA,0.277,NA,NA,7.431,0.011,angle,0,1,0,0,
148,SC1_54,3-Dec-10,40515,SC1_54_8,8,0.571,NA,0.979,NA,NA,105.562,0.752,,1,1,1,0,
149,SC1_54,3-Dec-10,40515,SC1_54_9,9,0.604,NA,1.018,NA,NA,50.711,0.743,,1,1,1,0,
150,SC1_54,3-Dec-10,40515,SC1_54_10,10,0.418,NA,0.795,NA,NA,131.348,0.692,,1,1,1,0,
151,SC1_54,3-Dec-10,40515,SC1_54_11,11,0.733,NA,1.084,NA,NA,172.405,0.847,,1,1,1,0,
152,SC1_54,3-Dec-10,40515,SC1_54_12,12,0.676,NA,1.026,NA,NA,113.286,0.876,,1,1,1,0,
153,SC1_54,3-Dec-10,40515,SC1_54_13,13,0.003,NA,0.243,NA,NA,11.31,0.021,nv,0,NA,0,0,
154,SC1_54,3-Dec-10,40515,SC1_54_14,14,0.002,NA,0.299,NA,NA,177.709,0.012,nv,0,NA,0,0,
155,SC1_54,3-Dec-10,40515,SC1_54_15,15,0.107,NA,0.407,NA,NA,58.173,0.346,,1,1,1,0,
156,SC1_54,3-Dec-10,40515,SC1_54_16,16,0.001,NA,0.144,NA,NA,4.764,0.019,nv,0,NA,0,0,dead?
157,SC1_54,3-Dec-10,40515,SC1_54_17,17,0.156,NA,0.474,NA,NA,130.914,0.43,,1,1,1,0,
158,SC1_54,3-Dec-10,40515,SC1_54_18,18,0.085,NA,0.369,10.609,18.342,119.055,0.322,,1,1,1,0,
159,SC1_54,3-Dec-10,40515,SC1_54_19,19,0.241,NA,0.626,28.438,21.349,130.365,0.527,,1,1,1,0,
160,SC1_54,3-Dec-10,40515,SC1_54_20,20,0.258,NA,0.687,26.361,22.411,17.176,0.487,,1,1,1,0,
161,SC1_54,3-Dec-10,40515,SC1_54_21,21,0.265,NA,0.63,30.264,13.58,65.376,0.572,,1,1,1,0,
162,SC1_54,3-Dec-10,40515,SC1_54_22,22,0.248,NA,0.604,21.731,26.003,142.224,0.533,,1,1,1,0,
163,SC1_54,3-Dec-10,40515,SC1_54_23,23,0.345,NA,0.79,21.385,25.359,165.124,0.561,angle,0,1,0,0,
164,SC1_54,3-Dec-10,40515,SC1_54_24,24,0.278,NA,0.642,26.874,26.624,9.638,0.579,,1,1,1,0,
165,SC1_54,3-Dec-10,40515,SC1_54_25,25,0.363,NA,0.942,26.624,25.753,171.254,0.489,angle,0,1,0,0,
166,SC1_54,3-Dec-10,40515,SC1_54_26,26,0.19,NA,0.55,28.951,25.383,130.601,0.46,,1,1,1,0,
167,SC1_54,3-Dec-10,40515,SC1_54_27,27,0.195,NA,0.593,31.815,26.111,139.899,0.419,,1,1,1,0,
168,SC1_54,3-Dec-10,40515,SC1_54_28,28,0,NA,0.38,36.063,22.889,46.273,0.007,NA,0,NA,0,0,missing #
169,SC1_54,3-Dec-10,40515,SC1_54_29,29,0,NA,0.228,37.102,21.122,42.879,0.008,nv,0,NA,0,0,
170,SC1_54,3-Dec-10,40515,SC1_54_30,30,0.002,NA,0.282,35.86,21.158,53.616,0.012,nv,0,NA,0,0,
171,SC1_54,3-Dec-10,40515,SC1_54_31,31,0.003,NA,0.301,34.273,22.232,56.31,0.017,nv,0,NA,0,0,
172,SC1_54,3-Dec-10,40515,SC1_54_32,32,2.85E-04,NA,0.096,31.099,23.33,60.255,0.006,dead,1,0,0,0,
173,SC1_54,3-Dec-10,40515,SC1_54_33,33,0.352,NA,0.795,30.001,23.605,27.719,0.621,angle,0,1,0,0,
174,SC1_54,3-Dec-10,40515,SC1_54_34,34,0.269,NA,0.773,29.011,23.664,171.119,0.453,angle,0,1,0,0,
175,SC1_54,3-Dec-10,40515,SC1_54_35,35,0.254,NA,0.714,25.824,23.736,170.38,0.453,angle,0,1,0,0,
176,SC1_54,3-Dec-10,40515,SC1_54_36,36,0.22,NA,0.7,25.156,23.342,156.93,0.404,angle,0,1,0,0,
177,SC1_54,3-Dec-10,40515,SC1_54_37,37,0.288,NA,0.697,24.965,22.364,141.953,0.549,angle,0,1,0,0,
178,SC1_54,3-Dec-10,40515,SC1_54_38,38,0.773,NA,1.151,31.206,13.545,17.496,0.872,,1,1,1,0,
179,SC1_54,3-Dec-10,40515,SC1_54_39,39,0.295,NA,0.787,32.447,7.291,165.964,0.475,angle,0,1,0,0,
180,SC1_54,3-Dec-10,40515,SC1_54_40,40,0.005,NA,0.272,38.128,17.698,37.875,0.035,nv,0,NA,0,0,
181,SC1_54,3-Dec-10,40515,SC1_54_41,41,0.323,NA,0.798,31.194,11.349,121.551,0.529,,1,1,1,0,remeasured 19Feb2015
182,SC1_54,3-Dec-10,40515,SC1_54_42,42,0.193,NA,0.597,27.411,23.664,16.26,0.412,angle,0,1,0,0,
183,SC1_54,3-Dec-10,40515,SC1_54_43,43,0.131,NA,0.473,26.874,23.736,10.176,0.346,angle,0,1,0,0,
184,SC1_54,3-Dec-10,40515,SC1_54_44,44,0.257,NA,0.643,24.333,27.364,21.801,0.56,,1,1,1,0,
185,SC1_54,3-Dec-10,40515,SC1_54_45,45,0.175,NA,0.53,9.177,24.822,35.838,0.452,,1,1,1,0,
186,SC1_54,3-Dec-10,40515,SC1_54_46,46,0.05,NA,0.282,23.485,27.388,143.616,0.239,recruit,1,1,1,1,
187,SC1_54,3-Dec-10,40515,SC1_54_47,47,0.329,NA,0.768,24.464,27.686,147.051,0.552,angle,0,1,0,0,
188,SC1_54,3-Dec-10,40515,SC1_54_48,48,0.414,NA,0.834,32.626,28.187,9.058,0.632,,1,1,1,0,
189,SC1_54,3-Dec-10,40515,SC1_54_49,49,0.217,NA,0.64,36.565,27.006,14.036,0.43,angle,0,1,0,0,
190,SC1_54,3-Dec-10,40515,SC1_54_50,50,0.04,NA,0.269,25.944,22.352,12.804,0.191,recruit,1,1,1,1,
191,SC1_54,3-Dec-10,40515,SC1_54_51,51,0.044,NA,0.262,31.254,12.256,114.228,0.232,recruit,1,1,1,1,
192,SC1_62,10-Dec-07,39426,SC1_62_1,1,0.755,3.193,1.109,30.432,11.298,150.101,0.907,,1,1,1,0,
