"","orig.order","quad1","quad","time","dates","ini.date","fin.date","elap.yr","site","coral","ID","Coral","ini.area","ini.perim","ini.feret","ini.notes","Coral.1","fin.area","fin.perim","fin.feret","fin.notes","tran","ini.areaLN","fin.areaLN"
"117",117,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",1,"B1",1,0.237,1.765,0.598,"",1,0.634,2.931,1.031,"","B",-1.43969513784701,-0.455706324544911
"122",122,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",6,"B6",6,0.611,2.897,0.958,"",6,0.731,3.11,1.021,"","B",-0.492658319810542,-0.313341819232359
"124",124,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",8,"B8",8,0.121,1.299,0.432,"",8,0.002,0.515,0.255,"gone","B",-2.1119647333854,-6.21460809842219
"125",125,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",9,"B9",9,0.261,1.873,0.637,"",9,0.334,2.108,0.735,"","B",-1.34323487165944,-1.09661428600544
"126",126,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",10,"B10",10,0.378,2.24,0.757,"",10,0.628,2.9,0.997,"","B",-0.972861083362549,-0.465215112513938
"127",127,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",11,"B11",11,0.247,1.802,0.629,"",11,0.519,2.637,0.897,"","B",-1.39836694235416,-0.655851395816248
"128",128,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",12,"B12",12,0.655,2.955,0.97,"",12,0.79,3.257,1.116,"","B",-0.423120043346885,-0.23572233352107
"132",132,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",16,"B16",16,0.55,2.725,0.977,"",16,0.762,3.246,1.163,"","B",-0.59783700075562,-0.271808723295491
"133",133,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",17,"B17",17,0.862,3.378,1.141,"",17,0.896,3.462,1.188,"","B",-0.148500008318444,-0.109814866007207
"134",134,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",18,"B18",18,0.171,1.508,0.519,"",18,0.000676,0.612,0.306,"gone","B",-1.76609172247948,-7.29931748192131
"135",135,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",19,"B19",19,0.259,1.846,0.643,"",19,0.416,2.34,0.785,"","B",-1.3509272172826,-0.877070018720874
"136",136,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",20,"B20",20,0.197,1.619,0.562,"",20,0.004,1.107,0.553,"gone","B",-1.62455155024415,-5.52146091786225
"138",138,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",22,"B22",22,0.98,3.638,1.27,"",22,1.206,4.023,1.381,"","B",-0.0202027073175195,0.187309098304994
"140",140,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",24,"B24",24,1.477,4.402,1.496,"",24,1.128,3.895,1.331,"","B",0.390013003549243,0.120446153075867
"141",141,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",25,"B25",25,0.698,3.061,1.037,"",25,0.724,3.113,1.065,"","B",-0.359536176219765,-0.322963886596421
"142",142,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",26,"B26",26,0.39,2.272,0.757,"",26,0.339,2.124,0.732,"","B",-0.941608539858445,-1.08175517160169
"143",143,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",27,"B27",27,0.394,2.277,0.785,"",27,0.434,2.404,0.806,"","B",-0.931404369684203,-0.834710744881732
"144",144,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",28,"B28",28,0.131,1.301,0.444,"",28,0.244,1.806,0.598,"","B",-2.03255795578099,-1.41058705368894
"145",145,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",29,"B29",29,0.472,2.517,0.843,"",29,0.504,2.604,0.927,"","B",-0.750776293396582,-0.685179010910768
"146",146,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",30,"B30",30,0.633,2.927,1.03,"",30,0.847,3.383,1.182,"angle","B",-0.457284856837961,-0.166054584330083
"147",147,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",31,"B31",31,0.139,1.344,0.479,"",31,0.533,2.686,0.943,"","B",-1.97328134585145,-0.629233854816292
"148",148,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",32,"B32",32,0.183,1.573,0.548,"",32,0.317,2.053,0.684,"","B",-1.69826912614072,-1.14885350510486
"158",158,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",42,"B42",42,0.715,3.134,1.136,"",42,0.742,3.155,1.097,"","B",-0.335472736288129,-0.298406035814757
"159",159,"B3_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",43,"B43",43,0.094,1.104,0.386,"",43,0.014,1.515,0.756,"gone","B",-2.36446049671213,-4.26869794936688
"168",168,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",4,"B4",4,0.607,2.879,1.005,"",4,0.84,3.336,1.109,"","B",-0.499226487922639,-0.174353387144778
"169",169,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",5,"B5",5,0.582,2.809,0.971,"",5,0.003,0.603,0.297,"gone","B",-0.541284831250699,-5.80914299031403
"170",170,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",6,"B6",6,0.589,2.808,0.989,"",6,0.004,0.674,0.334,"gone","B",-0.52932909533055,-5.52146091786225
"171",171,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",7,"B7",7,0.528,2.667,0.911,"",7,0.653,2.981,1.041,"","B",-0.638658995275876,-0.426178149705706
"172",172,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",8,"B8",8,0.968,3.602,1.238,"",8,0.000276,0.444,0.222,"gone","B",-0.0325231917055601,-8.19510969224712
